annee,niveau_mer_brest,niveau_mer_marseille,niveau_mer_le_havre,niveau_mer_st._malo,niveau_mer_calais,niveau_mer_st._nazaire,niveau_mer_le_verdon,niveau_mer_la_rochelle_la_pallice,niveau_mer_cherbourg,niveau_mer_dunkerque,niveau_mer_st_jean_de_luz_(socoa),niveau_mer_boulogne,niveau_mer_dieppe,niveau_mer_sete,niveau_mer_toulon,niveau_mer_pointe_st._gildas,niveau_mer_port_tudy,niveau_mer_le_conquet,niveau_mer_concarneau,niveau_mer_roscoff,niveau_mer_antifer,niveau_mer_nice,niveau_mer_port_vendres,niveau_mer_les_sables_d_olonne,niveau_mer_boucau,niveau_mer_port_bloc,niveau_mer_arcachon_eyrac,niveau_mer_le_crouesty,niveau_mer_ajaccio,niveau_mer_centuri,niveau_mer_solenzara,niveau_mer_port_ferreol,niveau_mer_fos_sur_mer,niveau_mer_ile_d'aix,niveau_mer_mimizan,niveau_mer_port_la_nouvelle,niveau_mer_mm
1976,78.33333333333394,58.66666666666697,-13.5,,-138.0119047619046,0.5833333333339397,145.33333333333303,48.47619047618991,78.3166666666666,59.61363636363603,50.41666666666697,107.75,177.16666666666606,,,22.91666666666697,-7.848484848484986,-18.58333333333394,,-3.4444444444443434,63.83333333333303,,,,1.6857142857143117,32.375,,,,,,,,,,,39.16205475810737
1977,118.75,74.08333333333303,41.58333333333303,,-87.26190476190459,47.75,118.91666666666697,141.4761904761899,79.39999999999964,119.16666666666697,30.727272727272975,173.83333333333303,232.75,,,73.75,25.233333333332666,37.41666666666606,,79.30555555555566,55.30000000000018,,,,32.785714285714675,6.125,,,,,0.0,,,,,,70.05455808080801
1978,91.75,75.16666666666697,49.33333333333303,,-108.01190476190459,134.91666666666697,,95.72619047618991,91.0666666666666,113.34090909090901,49.58333333333303,151.909090909091,248.16666666666606,,,47.16666666666697,4.58333333333303,20.16666666666606,,80.10101010101062,23.58333333333303,0.0,,,54.535714285714675,,,,,,,,,,,,67.9491301907968
1979,104.0,86.66666666666697,77.91666666666697,,-140.80357142857156,51.08333333333394,,119.80952380952385,49.12727272727261,117.61363636363603,65.16666666666697,146.19999999999982,200.1833333333334,,,64.25,17.33333333333303,38.08333333333303,,98.13888888888869,55.5,113.31818181818198,,,53.119047619047706,,,,,,,,,,,,73.15035072951741
1980,88.76666666666733,54.5,58.83333333333303,,-124.30357142857156,20.484848484848953,,,24.233333333332666,101.25,47.16666666666697,149.83333333333303,152.67424242424204,,,66.75,16.16666666666606,39.08333333333303,,67.80555555555566,-9.399999999999636,97.04545454545496,,,25.202380952381645,,,,,,,,,,,,51.534837874543776
1981,113.41666666666697,41.0,74.08333333333303,,-127.70129870129858,45.16666666666697,,,13.983333333332666,138.91666666666697,32.25,161.0,249.83333333333303,,-33.25,66.33333333333303,26.5,65.75,,76.55555555555566,14.66666666666697,73.91666666666697,,,-3.6309523809522943,,,,0.0,,,,,,,,54.14684058631428
1982,121.25757575757598,46.41666666666697,44.08333333333303,,-107.51190476190459,,,,71.23333333333267,156.35000000000036,80.58333333333303,199.0,200.83333333333303,,-80.01666666666733,93.75,30.66666666666606,28.66666666666606,,109.63888888888869,22.800000000000182,70.0,0.0,,15.376623376623684,,,,-47.69999999999982,,,,,105.14285714285688,,,58.02853535353525
1983,129.83333333333394,61.08333333333303,81.09090909090901,,-161.02857142857192,98.83333333333394,,,69.5666666666666,146.66666666666697,104.83333333333303,196.30000000000018,225.76515151515105,,,93.0,39.5,30.75,,112.63888888888869,,77.16666666666697,,,22.869047619047706,,,,,,,,,,,,83.05429743867245
1984,123.75,47.227272727272975,21.5,,,28.25,,,68.8166666666666,107.64999999999964,66.41666666666697,140.28571428571468,249.310606060606,,72.58333333333303,65.5,30.41666666666606,23.16666666666606,,127.44444444444434,,67.75,27.41666666666697,,-14.047619047618355,,,,,,,,,,,,73.73159324335793
1985,134.08333333333394,51.86363636363603,81.58333333333303,,,33.0,,,52.233333333332666,148.125,69.08333333333303,174.72727272727298,208.58333333333303,,,46.33333333333303,28.33333333333303,31.444444444444343,,92.47222222222263,,72.66666666666697,28.91666666666697,,21.202380952381645,,,,,,,,,,,,79.66572646103896
